geography,geographic_area_name,state_short,total,moe_total,total_male,moe_total_male,total_male_under5,moe_total_male_under5,total_male_under5_hearing_diff,moe_total_male_under5_hearing_diff,total_male_under5_no_hearing_diff,moe_total_male_under5_no_hearing_diff,total_male_5to17,moe_total_male_5to17,total_male_5to17_hearing_diff,moe_total_male_5to17_hearing_diff,total_male_5to17_no_hearing_diff,moe_total_male_5to17_no_hearing_diff,total_male_18to34,moe_total_male_18to34,total_male_18to34_hearing_diff,moe_total_male_18to34_hearing_diff,total_male_18to34_no_hearing_diff,moe_total_male_18to34_no_hearing_diff,total_male_35to64,moe_total_male_35to64,total_male_35to64_hearing_diff,moe_total_male_35to64_hearing_diff,total_male_35to64_no_hearing_diff,moe_total_male_35to64_no_hearing_diff,total_male_65to74,moe_total_male_65to74,total_male_65to74_hearing_diff,moe_total_male_65to74_hearing_diff,total_male_65to74_no_hearing_diff,moe_total_male_65to74_no_hearing_diff,total_male_75plus,moe_total_male_75plus,total_male_75plus_hearing_diff,moe_total_male_75plus_hearing_diff,total_male_75plus_no_hearing_diff,moe_total_male_75plus_no_hearing_diff,total_female,moe_total_female,total_female_under5,moe_total_female_under5,total_female_under5_hearing_diff,moe_total_female_under5_hearing_diff,total_female_under5_no_hearing_diff,moe_total_female_under5_no_hearing_diff,total_female_5to17,moe_total_female_5to17,total_female_5to17_hearing_diff,moe_total_female_5to17_hearing_diff,total_female_5to17_no_hearing_diff,moe_total_female_5to17_no_hearing_diff,total_female_18to34,moe_total_female_18to34,total_female_18to34_hearing_diff,moe_total_female_18to34_hearing_diff,total_female_18to34_no_hearing_diff,moe_total_female_18to34_no_hearing_diff,total_female_35to64,moe_total_female_35to64,total_female_35to64_hearing_diff,moe_total_female_35to64_hearing_diff,total_female_35to64_no_hearing_diff,moe_total_female_35to64_no_hearing_diff,total_female_65to74,moe_total_female_65to74,total_female_65to74_hearing_diff,moe_total_female_65to74_hearing_diff,total_female_65to74_no_hearing_diff,moe_total_female_65to74_no_hearing_diff,total_female_75plus,moe_total_female_75plus,total_female_75plus_hearing_diff,moe_total_female_75plus_hearing_diff,total_female_75plus_no_hearing_diff,moe_total_female_75plus_no_hearing_diff
0400000US35,New Mexico,NM,2077871,868,1021476,1343,58047,548,436,202,57611,565,178983,740,1945,515,177038,791,229716,1092,3154,502,226562,1234,373879,1020,19970,1077,353909,1453,112486,445,17295,1035,95191,1101,68365,351,22220,1121,46145,1134,1056395,1159,54902,581,256,98,54646,603,174080,607,1101,261,172979,655,227830,874,2627,593,225203,987,388091,902,11790,903,376301,1248,124962,384,9182,844,115780,865,86530,445,19466,919,67064,1034
0400000US36,New York,NY,19674246,1225,9576736,1827,563286,532,2457,504,560829,696,1537126,826,6937,807,1530189,1191,2256120,1196,15287,866,2240833,1488,3734919,1430,82538,2724,3652381,2863,924344,783,73116,1949,851228,2074,560941,649,112619,2440,448322,2500,10097510,1341,539616,570,1997,409,537619,690,1464627,613,6028,622,1458599,872,2300677,885,12646,939,2288031,1337,3906469,831,62074,2359,3844395,2499,1063181,678,48241,1608,1014940,1804,822940,930,132288,2857,690652,3068
0400000US37,North Carolina,NC,10366704,2441,5007952,2711,305907,805,1790,369,304117,923,878310,1142,5655,642,872655,1359,1119906,2284,11427,930,1108479,2480,1927042,1783,66719,2204,1860323,2672,492891,980,60019,1920,432872,1964,283896,790,75999,1970,207897,2080,5358752,2026,292306,684,1240,349,291066,775,843957,1016,4234,563,839723,1211,1184656,1394,9637,933,1175019,1555,2068624,1410,42540,1863,2026084,2499,576938,916,34724,1429,542214,1611,392271,969,69714,2221,322557,2372
0400000US38,North Dakota,ND,761569,628,387638,914,26055,481,150,70,25905,483,68033,616,297,119,67736,607,98889,767,1355,339,97534,845,138397,704,6131,555,132266,830,36049,201,5766,512,30283,520,20215,281,5713,459,14502,573,373931,892,25315,449,193,126,25122,471,65226,499,315,174,64911,526,91187,556,681,180,90506,545,129175,727,2952,430,126223,840,35928,434,1622,375,34306,289,27100,304,4688,485,22412,504
0400000US39,Ohio,OH,11612784,927,5704832,1912,345363,560,1726,391,343637,659,988463,961,6305,699,982158,1090,1282647,1473,12690,1065,1269957,1838,2173983,1459,74799,2235,2099184,2804,586006,870,67690,1996,518316,2012,328370,984,85202,1788,243168,1975,5907952,1806,330253,636,985,269,329268,716,943953,894,4764,509,939189,1067,1276488,1085,10603,810,1265885,1304,2240304,1444,48989,1932,2191315,2383,655457,813,36792,1457,618665,1521,461497,1276,79684,1933,381813,2052
0400000US40,Oklahoma,OK,3906785,1020,1923410,1188,126474,379,1076,225,125398,415,365086,570,3069,381,362017,667,447040,1072,6847,554,440193,1256,702596,1137,44979,1140,657617,1578,177248,477,34967,1230,142281,1219,104966,509,36511,1036,68455,994,1983375,949,121172,411,683,132,120489,440,349239,475,2279,307,346960,558,447474,703,4411,510,443063,864,725145,832,23918,960,701227,1193,199087,481,15413,806,183674,951,141258,539,29458,1116,111800,1263
0400000US41,Oregon,OR,4196946,703,2083321,1243,109030,503,486,173,108544,525,330358,753,2203,392,328155,888,476466,946,6328,758,470138,1227,808276,928,33465,1615,774811,1862,226931,623,34291,1480,192640,1637,132260,515,42096,1128,90164,1297,2113625,1005,103454,428,542,315,102912,540,312526,637,1993,384,310533,712,467088,705,4416,632,462672,940,812798,772,19345,1084,793453,1409,251034,547,15602,1060,235432,1240,166725,607,32595,1332,134130,1456
0400000US42,Pennsylvania,PA,12800535,906,6283050,1440,351389,418,1466,336,349923,594,1016361,651,6486,646,1009875,858,1410024,1270,13583,1151,1396441,1663,2428563,1258,76090,2408,2352473,2680,677136,652,74621,1806,602515,1952,399577,811,99293,1937,300284,1939,6517485,1136,333796,434,1140,310,332656,507,968557,521,6206,743,962351,873,1404260,688,10734,974,1393526,1127,2493111,1001,52253,1966,2440858,2181,752564,643,39542,1429,713022,1538,565197,902,97731,2194,467466,2408
0400000US44,Rhode Island,RI,1078696,459,527396,774,27201,249,19,31,27182,251,79538,332,533,204,79005,395,128836,636,1344,321,127492,724,205999,579,6091,644,199908,823,54319,291,4965,552,49354,610,31503,290,7950,616,23553,609,551300,648,26612,260,248,118,26364,291,74897,287,590,199,74307,333,128989,353,848,289,128141,462,214280,493,4638,648,209642,862,60778,301,3003,371,57775,429,45744,349,7533,584,38211,695
0400000US45,South Carolina,SC,5113158,1698,2463790,2120,147715,582,1161,356,146554,655,425744,677,2696,463,423048,807,535346,1655,5495,699,529851,1816,930867,1407,33345,1545,897522,2300,269522,626,33494,1492,236028,1549,154596,591,41588,1375,113008,1527,2649368,1523,140151,536,744,235,139407,615,411453,811,2367,437,409086,929,563740,1163,3929,652,559811,1248,1014643,987,20910,1234,993733,1674,314622,490,18345,1079,296277,1196,204759,646,35386,1329,169373,1487
